"state","voted_2020","protests_per_100k","polarization_var","diversity_index","education_index","economic_index","turnout_rate"
1,"Republican",7.28462730672401,0.133332374280523,53.1,63.9333333333333,78.6898952556993,35.87
2,"Republican",9.1356452424423,0.0220529737101862,62.8,70.3333333333333,89.1463339494763,47.92
4,"Democrat",6.1805198404475,0.198722123346598,61.5,65.8333333333333,83.6278496611214,44.67
5,"Republican",6.74077311022592,0.0815146995845223,49.8,63.1666666666667,76.7630314232902,38.84
6,"Democrat",13.9055313639159,0.534081657081775,69.7,64.1666666666667,87.0784966112138,36.51
8,"Democrat",7.70734400768725,0.166592491767283,52.3,73.8,89.9715341959335,54.76
9,"Democrat",17.8871330225872,0.0867508406061593,55.7,71.8666666666667,89.7513247073321,44.79
10,"Democrat",7.98021714271861,0.0362103350796113,59.6,68.9333333333333,86.3767714109674,39.99
12,"Republican",8.56153770045733,0.453828682756698,64.1,66.3666666666667,81.371965495995,43.16
13,"Democrat",7.06690162014088,0.232482599015232,64.1,66.3333333333333,81.7656808379544,46.96
15,"Democrat",16.6979208683469,0.041019241489201,76,70.6666666666667,90.037584719655,37.08
16,"Republican",8.97175040481625,0.0624890914810596,35.9,69.0666666666667,84.326494146642,40.06
17,"Democrat",11.2780417385886,0.29395334174556,60.3,69,85.0690696241528,42.09
18,"Republican",7.3686233407334,0.186349450744197,41.3,66.7333333333333,83.4075785582255,35.68
19,"Republican",11.0018621670409,0.0958862638708606,30.8,69.9666666666667,85.545348120764,49.65
20,"Republican",5.92263809277438,0.0970557387173096,45.4,70.0333333333333,84.4015403573629,44.89
21,"Republican",7.74551048906352,0.147560026513044,32.8,64.4,76.9817005545287,42.8
22,"Republican",7.47140737483729,0.107525059249555,58.6,61.9666666666667,76.7364756623537,40.06
23,"Democrat",23.3418651031043,0.0564961133444478,18.5,71.9666666666667,84.954651879236,59.7
24,"Democrat",11.0729350271255,0.15915812835897,67.3,71.4666666666667,95.7666666666667,42.17
25,"Democrat",20.412758785061,0.160681810486913,51.6,73.4666666666667,91.0534195933457,44.48
26,"Democrat",10.1514974550305,0.248245138935994,45.2,68.6,82.2871842267406,56.75
27,"Democrat",15.3859795524187,0.153350414751791,40.5,73.1333333333333,90.513247073321,57.06
28,"Republican",7.09153038264885,0.0784271847892468,55.9,60.7,74.2086876155268,31.36
29,"Republican",8.04235575710006,0.179296029171441,40.8,67.9666666666667,83.3332717190388,47.83
30,"Republican",12.727985427379,0.0413170213838713,30.1,71.8333333333333,84.0163894023413,52.37
31,"Republican",8.25896862815472,0.0619688111017578,40.8,69.9666666666667,85.7071472581639,45.71
32,"Democrat",9.08325479431582,0.108722991307802,68.8,66.2,83.7161429451633,40.96
33,"Democrat",16.9143444530024,0.0584960777288626,23.6,74.3666666666667,89.5101663585952,54.73
34,"Democrat",7.15900989924205,0.202387240573751,65.8,71.0333333333333,90.1139864448552,36.39
35,"Democrat",10.8617525579427,0.0686295090471903,63,62.6333333333333,76.8480591497227,43.18
36,"Democrat",22.9589764474464,0.38416984881922,65.8,67.6,83.9190388170055,38.09
37,"Republican",8.8702517810431,0.246543139339478,57.9,67.7,81.0462107208872,44.89
38,"Republican",8.47137829324831,0.0276154723405047,32.6,70.5,86.6180529882933,40.63
39,"Republican",8.15292376389133,0.290410564300792,40.4,68.3666666666667,81.8009858287123,45.68
40,"Republican",5.22812691871626,0.0989377609408622,59.5,65.6666666666667,79.8773875539125,37.5
41,"Democrat",16.5909258255815,0.140142617836384,46.1,70.2,87.9344423906346,58.71
42,"Democrat",14.5200612180547,0.341791654837599,44,69.3333333333333,83.7791743684535,52.31
44,"Democrat",23.510564718297,0.0348004774267385,49.4,69.4666666666667,86.1792975970425,40.63
45,"Republican",7.3264724988644,0.143655558131763,54.6,66.1666666666667,79.8295748613678,41.01
46,"Republican",8.0075157866482,0.0307080984085923,35.6,69.6333333333333,82.6962415280345,51.06
47,"Republican",8.45049227011478,0.186853708120463,46.6,65.8666666666667,81.1417128773876,31.72
48,"Republican",4.4569479924949,0.453829429326555,67,63.3666666666667,83.6277880468269,35.89
49,"Republican",6.78563743422211,0.093273017576953,40.7,72.1333333333333,92.3465804066543,44
50,"Democrat",32.9665032336719,0.0288822458865904,20.2,74.9666666666667,84.7396796056685,54.81
51,"Democrat",10.9136497434423,0.216311847038896,60.5,71.2333333333333,88.4717806531115,44.26
53,"Democrat",9.07170030528413,0.202459511806529,55.9,71.7,89.350831792976,49.81
54,"Republican",11.9305397286973,0.0709240615934953,20.2,63.8333333333333,75.7947627849661,34.82
55,"Democrat",12.43697102576,0.177346961525812,37,70.1666666666667,84.6575477510783,57.42
56,"Republican",11.0947194336146,0.0145856298209599,32.4,69.8666666666667,84.716943930992,43.82
